instance,input,start,end,duration,sum_of_cpu,average_memory
local-2c2m,159M,2024-12-10T21:12:07Z,2024-12-10T21:14:36Z,112,0.0953147563940355,20415106.50980392
local-2c2m,159M,2024-12-10T21:08:40Z,2024-12-10T21:11:04Z,109,0.06663707149662294,29783176.533333328
local-2c2m,159M,2024-12-10T21:04:33Z,2024-12-10T21:07:10Z,123,0.11974963197135129,21922767.811764706
local-2c2m,159M,2024-12-10T21:01:22Z,2024-12-10T21:04:01Z,132,0.20560750954888043,55769405.239215694
local-2c2m,145M,2024-12-10T20:52:43Z,2024-12-10T20:55:02Z,104,0.13109767809771206,23739178.66666667
local-2c2m,145M,2024-12-10T20:48:21Z,2024-12-10T20:50:39Z,102,0.0674408757697422,24948947.301587302
local-2c2m,145M,2024-12-10T20:45:06Z,2024-12-10T20:47:35Z,113,0.10487328447563382,26908672.000000004
local-2c2m,145M,2024-12-10T20:40:04Z,2024-12-10T20:42:41Z,123,0.06397431006729411,26835546.35294118
local-2c2m,133M,2024-12-10T20:37:53Z,2024-12-10T20:39:21Z,61,0.056691046040257057,13452107.294117646
local-2c2m,133M,2024-12-10T20:35:49Z,2024-12-10T20:37:18Z,63,0.0711856937215796,14358118.399999997
local-2c2m,133M,2024-12-10T20:33:45Z,2024-12-10T20:35:17Z,65,0.06096453833163079,14888550.399999999
local-2c2m,133M,2024-12-10T20:31:36Z,2024-12-10T20:33:10Z,68,0.06366314847864701,26427930.947368424
local-2c2m,133M,2024-12-10T20:28:20Z,2024-12-10T20:30:09Z,73,0.06575860968670061,14137935.644444443
local-2c2m,133M,2024-11-07T12:44:21Z,2024-11-07T12:46:13Z,76,0.06074620996599789,14291821.714285716
local-2c2m,159M,2024-10-30T20:38:49Z,2024-10-30T20:41:46Z,150,0.15660464602451285,49516511.874509804
local-2c2m,145M,2024-10-30T20:35:16Z,2024-10-30T20:37:52Z,130,0.11841030366232831,43684590.93333333
local-2c2m,133M,2024-10-30T20:27:27Z,2024-10-30T20:30:14Z,134,0.05068063256980423,22895896.252631575
local-2c4m,159M,2024-12-10T21:21:50Z,2024-12-10T21:24:02Z,105,0.25504061318397847,36925371.733333334
local-2c4m,159M,2024-12-10T21:18:54Z,2024-12-10T21:21:08Z,108,0.12058138790414485,32161518.933333326
local-2c4m,159M,2024-12-10T21:13:25Z,2024-12-10T21:15:34Z,104,0.13082418634916318,28423714.13333333
local-2c4m,159M,2024-12-10T21:09:36Z,2024-12-10T21:11:50Z,108,0.05531323731789492,32386503.11111111
local-2c4m,145M,2024-12-10T21:05:17Z,2024-12-10T21:07:34Z,101,0.1364841097337631,39426048
local-2c4m,145M,2024-12-10T21:01:54Z,2024-12-10T21:03:59Z,97,0.28429164004358876,32883270.274509795
local-2c4m,145M,2024-12-10T20:54:40Z,2024-12-10T20:56:42Z,96,0.05739471506950235,31888966.274509802
local-2c4m,145M,2024-12-10T20:49:05Z,2024-12-10T20:51:22Z,103,0.053008560160316104,28473503.288888898
local-2c4m,133M,2024-12-10T20:43:45Z,2024-12-10T20:45:14Z,62,0.06271940946247268,16810929.230769232
local-2c4m,133M,2024-12-10T20:40:30Z,2024-12-10T20:42:09Z,63,0.06666466840313781,13423917.176470589
local-2c4m,133M,2024-12-10T20:38:18Z,2024-12-10T20:39:44Z,58,0.06126007370700148,15546416.761904761
local-2c4m,133M,2024-12-10T20:35:13Z,2024-12-10T20:36:54Z,67,0.06037002464491367,15259550.476190478
local-2c4m,133M,2024-11-07T13:04:41Z,2024-11-07T13:06:28Z,71,0.05646255469752803,14747550.476190478
local-2c4m,159M,2024-10-30T20:49:01Z,2024-10-30T20:51:44Z,127,0.19143480537277424,30516155.733333334
local-2c4m,145M,2024-10-30T20:44:36Z,2024-10-30T20:46:52Z,110,0.18098830714285782,41294165.333333336
local-2c4m,133M,2024-10-30T20:40:03Z,2024-10-30T20:43:37Z,168,0.05388456041354292,29959386.453333337
local-2c8m,159M,2024-12-10T22:40:01Z,2024-12-10T22:42:34Z,117,0.11237112703988984,42414914.37037037
local-2c8m,159M,2024-12-10T21:33:21Z,2024-12-10T21:35:39Z,114,0.1391179655190436,34249808.3137255
local-2c8m,159M,2024-12-10T21:26:35Z,2024-12-10T21:29:00Z,109,0.1255347093581293,25295249.56862745
local-2c8m,159M,2024-12-10T21:20:03Z,2024-12-10T21:22:13Z,103,0.2529555127700883,32741094.90196078
local-2c8m,145M,2024-12-10T21:15:39Z,2024-12-10T21:18:03Z,109,0.11381892816077847,24698398.117647063
local-2c8m,145M,2024-12-10T21:07:51Z,2024-12-10T21:10:10Z,103,0.06201053631625319,31736422.4
local-2c8m,145M,2024-12-10T21:00:35Z,2024-12-10T21:02:47Z,107,0.13247291263602218,46195157.33333333
local-2c8m,145M,2024-12-10T20:55:22Z,2024-12-10T20:57:27Z,99,0.0570705616189773,31763998.11764706
local-2c8m,133M,2024-12-10T20:51:33Z,2024-12-10T20:53:02Z,63,0.05169879320890228,22992289.185185187
local-2c8m,133M,2024-12-10T20:46:26Z,2024-12-10T20:47:55Z,62,0.05506313982307655,13174864.313725488
local-2c8m,133M,2024-12-10T20:44:22Z,2024-12-10T20:45:50Z,61,0.05181431663388455,14529604.266666668
local-2c8m,133M,2024-12-10T20:42:00Z,2024-12-10T20:43:43Z,67,0.05735187245272361,14637329.066666666
local-2c8m,133M,2024-11-07T13:05:16Z,2024-11-07T13:07:00Z,68,0.06082000674245966,27626427.733333338
local-2c8m,159M,2024-10-30T20:52:40Z,2024-10-30T20:55:05Z,119,0.05955996332875658,44713005.51111112
local-2c8m,145M,2024-10-30T20:44:59Z,2024-10-30T20:47:12Z,100,0.04957661996014496,20647082.666666668
local-2c8m,133M,2024-10-30T20:40:22Z,2024-10-30T20:43:44Z,157,0.057744094024821266,18219676.294736844
local-2c16m,159M,2024-12-10T23:59:39Z,2024-12-11T00:02:01Z,107,0.10658701125488562,26278525.155555557
local-2c16m,159M,2024-12-10T23:56:22Z,2024-12-10T23:58:47Z,111,0.17136583162901964,43607145.025641024
local-2c16m,159M,2024-12-10T23:48:37Z,2024-12-10T23:50:57Z,113,0.06403543500997728,51642587.42857143
local-2c16m,159M,2024-12-10T23:42:58Z,2024-12-10T23:45:19Z,115,0.10551726567833862,48687283.64912281
local-2c16m,145M,2024-12-10T23:38:55Z,2024-12-10T23:41:04Z,102,0.18305206463037008,31763943.619047612
local-2c16m,145M,2024-12-10T23:34:16Z,2024-12-10T23:36:42Z,111,0.14736813452961556,34032746.66666667
local-2c16m,145M,2024-12-10T21:34:43Z,2024-12-10T21:36:59Z,109,0.06528664587941482,31259562.66666666
local-2c16m,145M,2024-12-10T21:28:07Z,2024-12-10T21:30:23Z,111,0.0602083494194706,34369803.81538461
local-2c16m,133M,2024-12-10T21:20:44Z,2024-12-10T21:22:15Z,65,0.06642748722321935,14597888
local-2c16m,133M,2024-12-10T21:17:32Z,2024-12-10T21:19:10Z,71,0.06586390239257164,23522605.176470593
local-2c16m,133M,2024-12-10T21:10:02Z,2024-12-10T21:11:33Z,62,0.06414213897802105,26224450.370370373
local-2c16m,133M,2024-12-10T20:52:14Z,2024-12-10T20:53:56Z,66,0.05974226437143092,24953313.88235294
local-2c16m,133M,2024-11-07T13:19:04Z,2024-11-07T13:20:48Z,70,0.06065047639483248,33007143.384615388
local-2c16m,159M,2024-10-30T20:53:13Z,2024-10-30T20:55:37Z,108,0.059344639976726586,23923591.529411763
local-2c16m,145M,2024-10-30T20:45:23Z,2024-10-30T20:47:36Z,98,0.057201310580100494,23185608.784313723
local-2c16m,133M,2024-10-30T20:40:44Z,2024-10-30T20:44:06Z,147,0.0568718809359267,26879672.32
local-4c8m,159M,2024-12-11T00:06:47Z,2024-12-11T00:08:40Z,77,0.07471952937950958,22674432
